Title,genre,studio_name,rating,runtime,onsale_date,release_date,Running Date,DBR,Sales Estimate,Reserved,Cuml Sales Estimate
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-07-30,-3.0,0.0,0.0,0.0
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-07-31,-2.0,287.0,26.0,287.0
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-08-01,-1.0,11.75,1.0,298.75
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-08-02,1.0,253.5,21.0,552.25
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-08-03,2.0,158.75,14.0,711.0
#AMFAD: All My Friends Are Dead,Horror,Cinedigm,NR,91.0,,2024-08-02,2024-08-04,3.0,193.25,15.0,904.25
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-11,-4.0,0.0,0.0,0.0
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-13,-2.0,579.68,49.0,579.68
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-14,-1.0,502.71000000000004,44.0,1082.3899999999999
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-15,1.0,714.2800000000001,56.0,1796.67
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-16,2.0,5202.05,439.0,6998.72
#Aay,Drama,Independent,NR,,,2024-08-15,2024-08-17,3.0,7162.34,634.0,14161.060000000001
#Gawwezni,Comedy,Independent,NYR,,,2022-11-04,2022-11-02,-2.0,895.25,48.0,895.25
#Gawwezni,Comedy,Independent,NYR,,,2022-11-04,2022-11-03,-1.0,221.32,12.0,1116.57
#Gawwezni,Comedy,Independent,NYR,,,2022-11-04,2022-11-04,1.0,985.45,54.0,2102.02
#Gawwezni,Comedy,Independent,NYR,,,2022-11-04,2022-11-05,2.0,916.87,49.0,3018.89
#Gawwezni,Comedy,Independent,NYR,,,2022-11-04,2022-11-06,3.0,1424.12,76.0,4443.01
#RUNSEOKJIN_EP.TOUr the MOVIE,Musical,Trafalgar Releasing,NYR,100.0,,2025-12-27,2025-11-22,-35.0,0.0,0.0,0.0
