Target Title,Similar Title,DBR,Target Growth,Similar Growth,Difference
Twisters,100 Meters,-14,8.05,7.37,0.68
Twisters,100 Meters,-13,5.29,7.43,2.14
Twisters,100 Meters,-12,8.07,9.05,0.97
Twisters,100 Meters,-11,8.39,8.91,0.51
Twisters,100 Meters,-10,7.43,9.01,1.58
Twisters,100 Meters,-9,9.45,9.51,0.06
Twisters,12 Mighty Orphans,-15,4.71,6.15,1.44
Twisters,12 Mighty Orphans,-14,8.05,6.99,1.06
Twisters,12 Mighty Orphans,-13,5.29,5.24,0.05
Twisters,2/22: 2025 Best Picture Showcase Day One Marathon,-22,3.84,5.18,1.33
Twisters,2/22: 2025 Best Picture Showcase Day One Marathon,-21,6.27,4.55,1.73
Twisters,2/22: 2025 Best Picture Showcase Day One Marathon,-20,3.85,5.31,1.46
Twisters,2/22: 2025 Best Picture Showcase Day One Marathon,-19,4.92,4.45,0.47
Twisters,28 Years Later,-5,13.39,12.34,1.05
Twisters,28 Years Later,-4,18.04,17.34,0.7
Twisters,28 Years Later,-3,29.61,28.14,1.47
Twisters,28 Years Later,-2,28.86,31.13,2.27
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-33,5.35,5.66,0.31
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-31,3.13,1.79,1.34
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-28,3.35,1.74,1.61
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-26,3.28,2.61,0.67
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-24,3.65,2.54,1.11
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-23,2.57,4.13,1.56
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-22,3.84,2.38,1.46
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-20,3.85,1.56,2.29
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-17,10.03,11.11,1.08
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-15,4.71,4.0,0.71
Twisters,3/1: 2025 Best Picture Showcase 24hr Marathon,-14,8.05,5.77,2.28
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-30,5.22,4.02,1.19
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-29,5.65,4.97,0.68
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-28,3.35,3.78,0.43
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-27,7.93,6.0,1.92
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-26,3.28,3.09,0.19
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-25,3.41,2.46,0.94
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-24,3.65,2.64,1.01
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-23,2.57,2.52,0.05
Twisters,3/1: 2025 Best Picture Showcase Day Two Marathon,-22,3.84,1.87,1.98
Twisters,A Big Bold Beautiful Journey,-18,7.6,10.27,2.67
Twisters,A Big Bold Beautiful Journey,-17,10.03,10.84,0.81
Twisters,A Big Bold Beautiful Journey,-16,6.92,7.62,0.7
Twisters,A Big Bold Beautiful Journey,-15,4.71,5.41,0.71
Twisters,A Big Bold Beautiful Journey,-14,8.05,6.76,1.29
Twisters,A Big Bold Beautiful Journey,-12,8.07,6.52,1.55
Twisters,A Big Bold Beautiful Journey,-11,8.39,9.2,0.8
Twisters,A Big Bold Beautiful Journey,-10,7.43,9.19,1.75
Twisters,A Big Bold Beautiful Journey,-9,9.45,10.93,1.48
Twisters,A Big Bold Beautiful Journey,-8,10.16,7.67,2.48
Twisters,A Big Bold Beautiful Journey,-7,10.56,8.07,2.5
Twisters,A Christmas Story 40th Anniversary,-25,3.41,5.13,1.73
Twisters,A Christmas Story 40th Anniversary,-24,3.65,2.93,0.72
Twisters,A Christmas Story 40th Anniversary,-23,2.57,3.62,1.06
Twisters,A Christmas Story 40th Anniversary,-22,3.84,2.4,1.45
Twisters,A Haunting in Venice: Early Access Screening,-12,8.07,7.71,0.36
Twisters,A Haunting in Venice: Early Access Screening,-11,8.39,10.59,2.19
Twisters,A Haunting in Venice: Early Access Screening,-10,7.43,4.73,2.7
Twisters,A Minecraft Movie,-16,6.92,7.64,0.72
Twisters,A Minecraft Movie,-15,4.71,7.65,2.94
Twisters,A Minecraft Movie,-14,8.05,8.64,0.59
Twisters,A Quiet Place Part II,-11,8.39,6.92,1.47
Twisters,A Quiet Place Part II,-10,7.43,9.5,2.07
Twisters,A Quiet Place Part II,-9,9.45,10.93,1.48
Twisters,A Quiet Place Part II,-8,10.16,10.86,0.7
Twisters,A Quiet Place Part II,-7,10.56,13.02,2.46
Twisters,A Quiet Place Part II,-5,13.39,11.13,2.26
Twisters,A Quiet Place Part II,-4,18.04,16.58,1.46
