Target Title,Similar Title,DBR,Target Growth,Similar Growth,Difference
Zootopia 2,A Minecraft Movie,-13,10.32,9.87,0.45
Zootopia 2,A Minecraft Movie,-12,9.88,10.38,0.5
Zootopia 2,A Minecraft Movie,-11,11.35,11.68,0.34
Zootopia 2,A Minecraft Movie,-10,10.82,10.63,0.18
Zootopia 2,A Minecraft Movie,-9,12.19,12.5,0.31
Zootopia 2,Bad Boys: Ride or Die,-17,10.7,11.48,0.79
Zootopia 2,Bad Boys: Ride or Die,-16,10.41,9.62,0.79
Zootopia 2,Bad Boys: Ride or Die,-15,9.78,9.69,0.09
Zootopia 2,Barbie,-13,10.32,11.06,0.74
Zootopia 2,Barbie,-12,9.88,10.69,0.81
Zootopia 2,Barbie,-11,11.35,12.19,0.84
Zootopia 2,Black Bag,-11,11.35,12.15,0.8
Zootopia 2,Black Bag,-10,10.82,11.03,0.21
Zootopia 2,Black Bag,-9,12.19,11.51,0.68
Zootopia 2,Caligula: The Ultimate Cut,-11,11.35,12.0,0.66
Zootopia 2,Caligula: The Ultimate Cut,-10,10.82,10.84,0.02
Zootopia 2,Caligula: The Ultimate Cut,-9,12.19,11.49,0.7
Zootopia 2,Cocaine Bear,-21,14.28,14.43,0.15
Zootopia 2,Cocaine Bear,-20,11.9,11.58,0.31
Zootopia 2,Cocaine Bear,-19,10.22,11.02,0.8
Zootopia 2,Dan Da Dan: Evil Eye,-12,9.88,10.83,0.95
Zootopia 2,Dan Da Dan: Evil Eye,-11,11.35,10.53,0.82
Zootopia 2,Dan Da Dan: Evil Eye,-10,10.82,10.48,0.34
Zootopia 2,Downton Abbey: A New Era,-16,10.41,10.53,0.12
Zootopia 2,Downton Abbey: A New Era,-15,9.78,9.47,0.31
Zootopia 2,Downton Abbey: A New Era,-14,10.05,9.33,0.72
Zootopia 2,Downton Abbey: A New Era: Early Access Screening,-15,9.78,9.97,0.19
Zootopia 2,Downton Abbey: A New Era: Early Access Screening,-14,10.05,9.36,0.69
Zootopia 2,Downton Abbey: A New Era: Early Access Screening,-13,10.32,9.94,0.38
Zootopia 2,Eddington,-13,10.32,9.97,0.35
Zootopia 2,Eddington,-12,9.88,9.65,0.24
Zootopia 2,Eddington,-11,11.35,10.83,0.51
Zootopia 2,Elio,-21,14.28,13.63,0.64
Zootopia 2,Elio,-20,11.9,11.8,0.1
Zootopia 2,Elio,-19,10.22,9.23,0.99
Zootopia 2,Elio,-18,11.22,11.76,0.54
Zootopia 2,Gabby's Dollhouse: The Movie,-12,9.88,10.79,0.91
Zootopia 2,Gabby's Dollhouse: The Movie,-11,11.35,11.19,0.16
Zootopia 2,Gabby's Dollhouse: The Movie,-10,10.82,11.8,0.99
Zootopia 2,Gabby's Dollhouse: The Movie,-9,12.19,13.09,0.89
Zootopia 2,Haikyuu!! The Dumpster Battle,-15,9.78,10.11,0.34
Zootopia 2,Haikyuu!! The Dumpster Battle,-14,10.05,9.21,0.84
Zootopia 2,Haikyuu!! The Dumpster Battle,-13,10.32,10.15,0.17
Zootopia 2,In a Violent Nature,-12,9.88,9.11,0.78
Zootopia 2,In a Violent Nature,-11,11.35,10.97,0.38
Zootopia 2,In a Violent Nature,-10,10.82,10.71,0.11
Zootopia 2,Migration,-13,10.32,10.4,0.08
Zootopia 2,Migration,-12,9.88,9.33,0.56
Zootopia 2,Migration,-11,11.35,12.31,0.97
Zootopia 2,Moana 2,-24,14.36,14.54,0.18
Zootopia 2,Moana 2,-23,15.66,14.84,0.82
Zootopia 2,Moana 2,-22,12.37,11.77,0.6
Zootopia 2,PAW Patrol: The Mighty Movie,-11,11.35,12.29,0.95
Zootopia 2,PAW Patrol: The Mighty Movie,-10,10.82,11.49,0.67
Zootopia 2,PAW Patrol: The Mighty Movie,-9,12.19,12.97,0.78
Zootopia 2,Smurfs,-11,11.35,10.51,0.84
Zootopia 2,Smurfs,-10,10.82,11.05,0.23
Zootopia 2,Smurfs,-9,12.19,11.94,0.25
Zootopia 2,Sonic the Hedgehog 3,-17,10.7,9.75,0.95
Zootopia 2,Sonic the Hedgehog 3,-16,10.41,9.47,0.94
Zootopia 2,Sonic the Hedgehog 3,-15,9.78,8.8,0.98
Zootopia 2,Sonic the Hedgehog 3,-14,10.05,10.03,0.02
Zootopia 2,Sonic the Hedgehog 3,-13,10.32,10.79,0.48
Zootopia 2,Suzume,-13,10.32,10.82,0.5
Zootopia 2,Suzume,-12,9.88,10.0,0.12
Zootopia 2,Suzume,-11,11.35,10.46,0.88
Zootopia 2,Sword Art Online: Progressive - Scherzo of Deep Night,-17,10.7,11.24,0.54
Zootopia 2,Sword Art Online: Progressive - Scherzo of Deep Night,-16,10.41,9.89,0.52
Zootopia 2,Sword Art Online: Progressive - Scherzo of Deep Night,-15,9.78,9.58,0.2
Zootopia 2,The Ark and the Darkness,-14,10.05,10.06,0.01
Zootopia 2,The Ark and the Darkness,-13,10.32,10.05,0.27
Zootopia 2,The Ark and the Darkness,-12,9.88,9.89,0.0
Zootopia 2,The Black Phone,-20,11.9,11.66,0.23
Zootopia 2,The Black Phone,-19,10.22,10.75,0.53
Zootopia 2,The Black Phone,-18,11.22,12.09,0.87
Zootopia 2,The Black Phone,-17,10.7,10.81,0.11
Zootopia 2,The Black Phone,-16,10.41,10.38,0.03
Zootopia 2,The Blue Angels,-14,10.05,9.59,0.46
Zootopia 2,The Blue Angels,-13,10.32,11.23,0.91
Zootopia 2,The Blue Angels,-12,9.88,10.71,0.83
Zootopia 2,The Forge,-15,9.78,8.97,0.8
Zootopia 2,The Forge,-14,10.05,10.16,0.1
Zootopia 2,The Forge,-13,10.32,10.03,0.28
Zootopia 2,The Shift,-15,9.78,9.34,0.44
Zootopia 2,The Shift,-14,10.05,9.71,0.34
Zootopia 2,The Shift,-13,10.32,10.02,0.3
Zootopia 2,The Whale,-14,10.05,9.79,0.26
Zootopia 2,The Whale,-13,10.32,10.32,0.0
Zootopia 2,The Whale,-12,9.88,9.98,0.1
Zootopia 2,Toy Story (1995) - Disney100 Special Engagement,-14,10.05,10.17,0.11
Zootopia 2,Toy Story (1995) - Disney100 Special Engagement,-13,10.32,9.55,0.77
Zootopia 2,Toy Story (1995) - Disney100 Special Engagement,-12,9.88,10.06,0.17
Zootopia 2,Violent Night,-11,11.35,11.61,0.26
Zootopia 2,Violent Night,-10,10.82,10.16,0.66
Zootopia 2,Violent Night,-9,12.19,12.53,0.34
Zootopia 2,Will & Harper,-23,15.66,15.18,0.48
Zootopia 2,Will & Harper,-22,12.37,12.97,0.6
